,index,majority,shortest_path,shortest_restricted_path,relative_increase,absolute_increase,n_cameras,id_year,year,id_race,race,household_income_by_race,household_income_by_race_moe,geography,id_geography
290,Census Tract 103,white,867.2281572745801,926.6342198749446,0.06850107679512935,59.40606260036452,1.7902312914242886,2022,2022,0,Total,68336,10353.0,Census Tract 103,14000US17031010300
291,Census Tract 106,white,673.457055913505,698.9752316954014,0.037891318470607574,25.51817578189639,1.2761627295513205,2022,2022,0,Total,66313,15659.000000000002,Census Tract 106,14000US17031010600
292,Census Tract 1508,white,720.5402989328937,740.8098733493204,0.02813107670236553,20.26957441642662,1.3809200802602053,2022,2022,0,Total,85714,21303.0,Census Tract 1508,14000US17031150800
293,Census Tract 1511,white,942.8185963645335,973.3446892682658,0.03237748281741533,30.52609290373232,1.0,2022,2022,0,Total,77521,14893.0,Census Tract 1511,14000US17031151100
294,Census Tract 2301,white,273.8514078632164,288.37980823927575,0.053052129581586754,14.528400376059324,0.5900951934248717,2022,2022,0,Total,90833,37906.0,Census Tract 2301,14000US17031230100
295,Census Tract 1601,white,697.8284018227062,697.8284018227062,0.0,0.0,0.0,2022,2022,0,Total,107137,15454.0,Census Tract 1601,14000US17031160100
296,Census Tract 1602,white,576.0718111070776,643.9746932719281,0.11787225282618295,67.90288216485055,1.3969974711311153,2022,2022,0,Total,124364,22257.0,Census Tract 1602,14000US17031160200
297,Census Tract 1604,white,499.4165957766902,552.0518904391582,0.10539356342495963,52.63529466246803,2.2328810947620656,2022,2022,0,Total,72325,16837.0,Census Tract 1604,14000US17031160400
298,Census Tract 3106,white,343.9548732395117,346.39550775249234,0.007095798614491821,2.440634512980637,0.14650652300079353,2022,2022,0,Total,73508,14554.0,Census Tract 3106,14000US17031310600
299,Census Tract 3109,white,337.95042502785157,337.95042502785157,0.0,0.0,0.0,2022,2022,0,Total,78287,38298.0,Census Tract 3109,14000US17031310900
300,Census Tract 3204,white,158.43086428407486,163.52123571603673,0.03212992275819797,5.09037143196187,0.47468709582653157,2022,2022,0,Total,162143,49884.0,Census Tract 3204,14000US17031320400
301,Census Tract 615,white,346.86484694948706,350.6446249434563,0.0108969762350108,3.779777993969219,0.1773754958129922,2022,2022,0,Total,133000,14567.999999999998,Census Tract 615,14000US17031061500
302,Census Tract 3206,white,281.7523788477396,283.30280852024794,0.0055028095196534895,1.5504296725083577,0.27117209940252257,2022,2022,0,Total,108320,24581.0,Census Tract 3206,14000US17031320600
